,issue_id,issue_comments,issue_desc,created_at,closed_at
54,WFCORE-1988,"{code:java}
/host-exclude=XX:add(management-minor-version=2)
{code}
produces
{code:java}
{
    ""outcome"" => ""failed"",
    ""failure-description"" => {""domain-failure-description"" => ""WFLYCTL0158: Operation handler failed: java.lang.IllegalArgumentException""},
    ""rolled-back"" => true
}
{code}
which is not sufficient

operation description:
{code:java}
/host-exclude=XX:read-operation-description(name=add)

...
            ""management-major-version"" => {
                ""type"" => INT,
                ""description"" => ""The major version of the kernel management API that is supported by slaves that should be affected by this configuration."",
                ""expressions-allowed"" => false,
                ""required"" => false,
                ""nillable"" => true,
                ""alternatives"" => [""host-release""],
                ""requires"" => [""management-minor-version""]
            },
            ""management-micro-version"" => {
                ""type"" => INT,
                ""description"" => ""The micro version of the kernel management API that is supported by slaves that should be affected by this configuration. If not defined, this configuration applies to all releases of the given major/minor version, excluding any for which a different configuration with a micro version also specified is present."",
                ""expressions-allowed"" => false,
                ""required"" => false,
                ""nillable"" => true,
                ""alternatives"" => [""host-release""],
                ""requires"" => [
                    ""management-major-version"",
                    ""management-minor-version""
                ]
            },
            ""management-minor-version"" => {
                ""type"" => INT,
                ""description"" => ""The minor version of the kernel management API that is supported by slaves that should be affected by this configuration."",
                ""expressions-allowed"" => false,
                ""required"" => false,
                ""nillable"" => true,
                ""alternatives"" => [""host-release""]
            }

{code}

Proposed solution:
make management-minor-version require management-major-version
",,,
55,WFCORE-2017,"I am unable to start embed-server with standalone-elytron.xml 
1){{./jboss-cli.sh}}
2) {{embed-server --std-out=echo -c=standalone-elytron.xml}}
3) server is missing org.wildfly.security.security-domain.ManagementDomain, which is however registered in elytron subsystem.

Starting {{./standalone.sh -c=standalone-elytron.xml}} works fine.

Full log:
{code}
[mchoma@localhost bin]$ ./jboss-cli.sh 
You are disconnected at the moment. Type 'connect' to connect to the server or 'help' for the list of supported commands.
[disconnected /] embed-server --std-out=echo -c=standalone-elytron.xml
08:15:40,801 INFO  [org.jboss.modules] (AeshProcess: 1) JBoss Modules version 1.6.0.Beta3
08:15:40,845 INFO  [org.jboss.msc] (AeshProcess: 1) JBoss MSC version 1.2.7.Final-redhat-1
08:15:40,916 INFO  [org.jboss.as] (MSC service thread 1-6) WFLYSRV0049: JBoss EAP 7.1.0.Alpha1 (WildFly Core 3.0.0.Alpha12-redhat-1) starting
08:15:41,088 INFO  [org.jboss.as.domain.management] (MSC service thread 1-5) WFLYDM0136: Registered OpenSSL provider
08:15:41,804 INFO  [org.wildfly.security] (Controller Boot Thread) ELY00001: WildFly Elytron version 1.1.0.Beta13
08:15:41,805 INFO  [org.wildfly.extension.elytron] (Controller Boot Thread) WFLYELY00001: Activating Elytron Subsystem Elytron Version=1.1.0.Beta13, Subsystem Version=1.0.0.Alpha13
08:15:41,811 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
08:15:41,859 INFO  [org.jboss.as.patching] (MSC service thread 1-6) WFLYPAT0050: JBoss EAP cumulative patch ID is: base, one-off patches include: none
08:15:42,024 ERROR [org.jboss.as.controller.management-operation] (Controller Boot Thread) WFLYCTL0013: Operation (""add"") failed - address: ([
    (""core-service"" => ""management""),
    (""access"" => ""identity"")
]) - failure description: {
    ""WFLYCTL0412: Required services that are not installed:"" => [""org.wildfly.security.security-domain.ManagementDomain""],
    ""WFLYCTL0180: Services with missing/unavailable dependencies"" => [""org.wildfly.management.identity is missing [org.wildfly.security.security-domain.ManagementDomain]""]
}
08:16:19,546 INFO  [org.jboss.as] (MSC service thread 1-4) WFLYSRV0050: JBoss EAP 7.1.0.Alpha1 (WildFly Core 3.0.0.Alpha12-redhat-1) stopped in 3ms
Cannot start embedded server: WFLYEMB0021: Cannot start embedded process: java.lang.InterruptedException
[disconnected /] 
{code}
",,,
56,WFCORE-2463,"In case when two password type are part of {{set-password}} operation for identity of Elytron filesystem-realm then only first of them is used and others are discarded. Configuring multiple credentials for one identity should be supported [1].

[1] https://issues.jboss.org/browse/WFLY-7584?focusedCommentId=13322919&page=com.atlassian.jira.plugin.system.issuetabpanels%3Acomment-tabpanel#comment-13322919",,,
58,WFCORE-2186,"Password encryption/hash mechanisms which contain {{salt}} attribute for filesystem-realm identity cannot be added through CLI. {{set-password}} operation fails and finishes with failure-description ""WFLYCTL0155: password may not be null"" even if password was set. It seems when {{salt}} attribute with {{bytes}} value is used then {{password}} attribute is ignored by CLI.

Following password encryption/hash mechanisms from filesystem-realm identity are affected by issue:
- {{bcrypt}}
- {{salted-simple-digest}}",,,
67,WFCORE-2410,"There are some wrong or insufficient resource and operation description for Elytron filesystem-realm in CLI:
* attribute {{levels}} for filesystem-realm - description says ""The number of levels of directory hashing to apply."", but created directory structure does not use any hashing. Example how it works: when levels is set to 3 then for user admin following directory structure and file a/d/m/admin.xml is used. Description of levels should be fixed. This should be also fixed in XSD.
* description of {{digest}} password encryption/hash mechanisms in {{set-password}} operation for identity of filesystem-realm says ""A password using a salted digest."" which is wrong. It seems it is copy-pasted from {{salted-simple-digest}}.",,,
69,WFCORE-1985,"While {{:read-resource-description}} returns an ordered list of resources with their descriptions for most resources, some resources do not return result consistent with this (resources ordered by alphabet).

Affected resources:
* {{/subsystem=iiop-openjdk:read-resource-description()}} returns unordered list of resources and their descriptions, while {{/subsystem=iiop-openjdk:read-resource()}} returns ordered list",,,
71,WFCORE-1983,"It happens that the CLI does a custom parsing of the value in case ModelNode.fromString fails (whatever the exception).
The issue is that the custom parsing doesn't follow the ModelNode parsing syntax and parse everything as String. So the resulting ModelNode that is serialised and sent to the server has been transformed.

I am surprised that we don't have more of such failures. For example, when numbers are located inside custom complex structure such as: {mynumber=9999} that will be sent as an OBJECT containing a STRING although the valid DMR syntax {""my number""=>999} would be sent as an OBJECT containing an INT.

Some server side subsystems are smart enough to call into asXXX methods and not check the type?



",,,
75,WFCORE-1982,NoData,,,
77,WFCORE-2393,"In {{/token-realm/public-key}} attribute there is certificate in PEM format expected, which I consider to be user un-friendly.

I wonder couldn't that be accomplished by leveraging key-store/trust-manager capability?

{code}
        ""public-key"" => {
            ""type"" => STRING,
            ""description"" => ""A public key in PEM Format. During validation, if a public key is provided, signature will be verified based on the key you provided here."",
            ""expressions-allowed"" => false,
            ""nillable"" => true,
            ""min-length"" => 1L,
            ""max-length"" => 2147483647L
        }
{code}",,,
79,WFCORE-1980,"Property file passed via CLI with --properties option does not resolve expressions in EAP 7, where in EAP 6 it works fine. ",,,
82,WFCORE-1976,"I'm running a fresh RHEL7.3 server subscribed to the current jboss eap7 repository [1] using the rpm package. [2]

[1] subscription-manager repos --enable=jb-eap-7-for-rhel-RHEL_VERSION-server-rpms
[2] https://access.redhat.com/documentation/en/red-hat-jboss-enterprise-application-platform/version-7.0/installation-guide/#rpm_installation",,,
83,WFCORE-1975,"The {{modulePath}} parameters passed to the {{org.wildfly.core.embedded.EmbeddedProcessFactory}} methods are are rejected if they they are actual paths with multiple directories. Only single directory names are accepted.

This is inconsistent with the normal operation of the server, with the naming of the parameter, as well as with the semantics of the {{module.path}} system property that it ultimately sets.",,,
84,WFCORE-1971,"Autocompletition of command in CLI does not work properly when starts writing quotes {{""}} right after equal sign {{=}} and then pressing {{<TAB>}}.

I write
{{/subsystem=transactions/log-store=""}}
and then press {{TAB}}
the autocompletion finishes the name but replaces the fist letter for the existing quotes. That leads to have command like
{{/subsystem=transactions/log-store=""og-store}}
which is obviously invalid as {{""og-store}} does not exists.",,,
89,WFCORE-1970,NoData,,,
92,WFCORE-1968,NoData,,,
96,WFCORE-1967,There are some HTML tags in help text when adding new path. I think these should be either removed at all or should be made working so the text is formatted properly.,,,
97,WFCORE-1961,NoData,,,
100,WFCORE-1959,"Deploying an empty exploded deployment created on domain controller fails with the following:
{code}    [domain@localhost:9990 /] /deployment=empty-deployment.jar:add(content=[{empty=true}])
    {
        ""outcome"" => ""success"",
        ""result"" => undefined,
        ""server-groups"" => undefined
    }
    [domain@localhost:9990 /] /server-group=main-server-group/deployment=empty-deployment.jar:add()              
    {
        ""outcome"" => ""failed"",
        ""result"" => undefined,
        ""failure-description"" => {""WFLYDC0074: Operation failed or was rolled back on all servers. Server failures:"" => {""server-group"" => {""main-server-group"" => {""host"" => {""master"" => {
            ""server-one"" => ""WFLYSRV0201: Cannot have more than one of [bytes, input-stream-index, hash, url, empty]"",
            ""server-two"" => ""WFLYSRV0201: Cannot have more than one of [bytes, input-stream-index, hash, url, empty]""
        }}}}}},
        ""rolled-back"" => true,
        ""server-groups"" => {""main-server-group"" => {""host"" => {""master"" => {
            ""server-one"" => {""response"" => {
                ""outcome"" => ""failed"",
                ""failure-description"" => ""WFLYSRV0201: Cannot have more than one of [bytes, input-stream-index, hash, url, empty]"",
                ""rolled-back"" => true
            }},
            ""server-two"" => {""response"" => {
                ""outcome"" => ""failed"",
                ""failure-description"" => ""WFLYSRV0201: Cannot have more than one of [bytes, input-stream-index, hash, url, empty]"",
                ""rolled-back"" => true
            }}
        }}}}
    }
{code}",,,
101,WFCORE-1957,"Unclear error message after cloning non-existing profile to new profile.
{noformat}
[domain@localhost:9990 /] /profile=non-existing-profile:clone(to-profile=whatever)
{
    ""outcome"" => ""failed"",
    ""result"" => undefined,
    ""server-groups"" => undefined,
    ""rolled-back"" => true
}
[domain@localhost:9990 /] 
{noformat}
There should be something like this on output:
{{Profile 'non-existing-profile' doesn't exist.}}",,,
102,WFCORE-1951,Allows the use of the GET method to obtain the binary stream to a content in the content repository.,,,
106,WFCORE-1949,"{code}""logging-profile"" => {
                ""description"" => ""A profile that can be assigned to a deployment for it's logging configuration."",{code}
The description should instead read {quote}A profile that can be assigned to a deployment for its logging configuration.{quote}
{code}""use-parent-handlers"" => {
                            ""type"" => BOOLEAN,
                            ""description"" => ""Specifies whether or not this logger should send its output to it's parent Logger."",{code}
The description should instead read {quote}Specifies whether or not this logger should send its output to its parent Logger.{quote}",,,
107,WFCORE-1943,"When working on the management models we first need to check the last final release so that we can identify if we do need to increment the versions or not.

I had already added a clean version 4 ready for ongoing development.

Also on a related point it would be better if we can add the new version in one commit and then make changes in a subsequent commit - this way we can use various git tools to see the changes made otherwise the first set of changes are never visible.",,,
115,WFCORE-2426,"Some attributes of some resources in {{elytron}} subsystem defines in its description that there is not necessary to do {{reload}} or {{restart}}. But reality is different. Trying to change such attributes you are informed that {{reload}} is necessary:

{noformat}
configurable-sasl-server-factory/filters
configurable-sasl-server-factory/properties
custom-role-mapper/*
aggregate-http-server-mechanism-factory/http-server-factories
constant-permission-mapper/permissions
filesystem-realm/levels
filesystem-realm/name-rewriter
ldap-key-store/attributes/new-item-template
service-loader-http-server-mechanism-factory/module
aggregate-principal-decoder/principal-decoders
simple-permission-mapper/permission-mappings
chained-name-rewriter/name-rewriters
custom-permission-mapper/*
configurable-http-server-mechanism-factory/properties
custom-name-rewriter/*
aggregate-sasl-server-factory/sasl-server-factories
aggregate-name-rewriter/name-rewriters
ldap-realm/identity-mapping/*
mechanism-provider-filtering-sasl-server-factory/filters
custom-principal-decoder/*
custom-realm-mapper/*
jdbc-realm/principal-query
key-managers/credential-reference
service-loader-sasl-server-factory/module
concatenating-principal-decoder/principal-decoders
credential-store/alias/*
custom-modifiable-realm/*
custom-credential-security-factory/*
key-store/credential-reference
custom-role-decoder/*
aggregate-role-mapper/role-mappers
custom-realm/*
{noformat}

The attributes are defined as {{""restart-required"" => ""no-services""}}, see e.g. {{/subsystem=elytron/concatenating-principal-decoder=concatPrincDecoder:read-resource-description}}",,,
117,WFCORE-1937,"For some part of Elytron subsystem some unneeded part of message is printed in failure-description - messages with prefix {{WFLYCTL0412}} and {{WFLYCTL0180}} should not be part of failure-description since they are unneeded and confusing for this kind of failures (see example).

Example:
Adding permission, but non existing module is used:
{code}
/subsystem=elytron/simple-permission-mapper=mapper:add(permission-mappings=[{permissions=[{action=read,class-name=org.wildfly.security.auth.permission.LoginPermission,target-name=someName,module=some.nonexist.module}]}])
{
    ""outcome"" => ""failed"",
    ""failure-description"" => {
        ""WFLYCTL0080: Failed services"" => {""org.wildfly.security.permission-mapper.mapper"" => ""org.jboss.msc.service.StartException in service org.wildfly.security.permission-mapper.mapper: org.jboss.modules.ModuleNotFoundException: some.nonexist.module:main
    Caused by: org.jboss.modules.ModuleNotFoundException: some.nonexist.module:main""},
        ""WFLYCTL0412: Required services that are not installed:"" => [""org.wildfly.security.permission-mapper.mapper""],
        ""WFLYCTL0180: Services with missing/unavailable dependencies"" => undefined
    },
    ""rolled-back"" => true
}
{code}

Base on comment [1] we are assigning this Jira to Brian. Could you please clarify whether WildFly Core or Elytron subsystem are responsible for printing this message to failure-description?

[1] https://issues.jboss.org/browse/JBEAP-6886?focusedCommentId=13317330&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-13317330",,,
118,WFCORE-2427,"Credential store has configuration in ""uri"" attribute. All parameters are in one string. It can be confusing and there is risk of typo (e.g. delimiter typo)
In my opinion the main intention for it is to have general solution for custom implementation.

*Current state*
{code}
/subsystem=elytron/credential-store=cs001:add(uri=""cr-store://test/cs/keystore.jceks?store.password=pass123;create.storage=true"")
{code}

*Suggestion for improvement:*
Better solution to achieve this could be use a map.
e.g. some like that:
{code}
/subsystem=elytron/credential-store=credStore:add(cs-map={store.password=pass123, create.storage=true, store.file=path/to/cred/file})
{code}

Now credential store name is in URI too, it can be get from resource name.
",,,
130,WFCORE-1936,"{{fixed-port}} attribute of {{socket-binding}} and {{fixed-source-port}} attributes of {{*-destination-outbound-socket-binding}} define in its description that there is not necessary to do {{reload}} or {{restart}} for any of them. But reality is different. If you tries to change such attributes you are informed that {{reload}} is necessary.

The attributes are defined as {{""restart-required"" => ""no-services""}}, see {{/socket-binding-group=standard-sockets:read-resource-description(recursive=true)}}",,,
132,WFCORE-2482,"{{key-manager-factory}} and {{trust-manager-factory}} requires user to specify algorithm.

Consider defaulting in elytron code to {{TrustManagerFactory.getDefaultAlgorithm()}} and {{KeyManagerFactory.getDefaultAlgorithm()}}.
It is java portable as for oracle java it returns SunX509 and for Ibm java IbmX509.

This JIRA is in scope of ""user experience"", minimizing necessary user input configuration.

David: ""The trust manager definitely should use the default algorithm when none is given; in this case the algorithm name isn't an ""algorithm"" per se, it's just an implementation name.""",,,
138,WFCORE-1932,"Management model does not validate input values for attributes in {{/interface}} section.

bq. Attribute indicating that part of the selection criteria for choosing an IP address for this interface should be whether or it the address fits in the given subnet definition. Value is a network IP address and the number of bits in the address' network prefix, written in ""slash notation""; e.g. ""192.168.0.0/16"". An 'undefined' value means this attribute is not relevant to the IP address selection.
In the description of {{subnet-match}} attribute it is clearly defined the format of input value. However the following command does not fail. 

{code}
/interface=public:write-attribute(name=subnet-match,value=""wrong-input"")
{
    ""outcome"" => ""success"",
    ""response-headers"" => {
        ""operation-requires-reload"" => true,
        ""process-state"" => ""reload-required""
    }
}
{code}

bq. Attribute indicating that part of the selection criteria for choosing an IP address for this interface should be whether or not the address matches the given value. Value is either an IP address in IPv6 or IPv4 dotted decimal notation, or a hostname that can be resolved to an IP address. An 'undefined' value means this attribute is not relevant to the IP address selection.
There are also attributes which accept inet addresses - namely inet-address, loopback-address. Validation for these attributes is not performed either.

{code}
/interface=public:write-attribute(name=inet-address,value=""wrong-input"")
{
    ""outcome"" => ""success"",
    ""response-headers"" => {
        ""operation-requires-reload"" => true,
        ""process-state"" => ""reload-required""
    }
}
{code}",,,
