,issue_id,issue_comments,issue_desc,created_at,closed_at
265,MODE-1947,"Stack trace :

{code}
21:23:48,851 ERROR [org.modeshape.jcr.SequencingRunner] (modeshape-sequencer-8-thread-3) The 'msoffice-sequencer' sequencer of repositor
y 'XXX' had an error while processing '/doc123.xls/jcr:content/jcr:data' in workspace 'default' and generating output '/derived/doc123.xls': java.lang.NullPointerException
        at org.modeshape.sequencer.msoffice.excel.ExcelMetadataReader.instance(ExcelMetadataReader.java:81)
        at org.modeshape.sequencer.msoffice.MSOfficeMetadataSequencer.sequenceExcel(MSOfficeMetadataSequencer.java:197)
        at org.modeshape.sequencer.msoffice.MSOfficeMetadataSequencer.execute(MSOfficeMetadataSequencer.java:175)
        at org.modeshape.jcr.SequencingRunner.run(SequencingRunner.java:224)
        at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145) [rt.jar:1.7.0_21]
        at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615) [rt.jar:1.7.0_21]
        at java.lang.Thread.run(Thread.java:722) [rt.jar:1.7.0_21]
{code}",,,
266,MODE-1945,"When I import an workspace.xml file using

{code}
session.importXML(""/"", s, ImportUUIDBehavior.IMPORT_UUID_COLLISION_REMOVE_EXISTING);
session.save();
{code}

The Import works first time. If now the repo is full and I try to re-import the same workspace again (e.g.: after I made wrong changes etc) then an null-pointer error occurs:

{code}
Root cause:

java.lang.NullPointerException
at org.modeshape.jcr.JcrSession$JcrPreSave.process(JcrSession.java:1844)
at org.modeshape.jcr.cache.document.WritableSessionCache.runPreSaveBeforeTransaction(WritableSessionCache.java:465)
at org.modeshape.jcr.cache.document.WritableSessionCache.save(WritableSessionCache.java:522)
at org.modeshape.jcr.JcrSession.save(JcrSession.java:988)
at org.brixcms.jcr.base.wrapper.SessionWrapper.save(SessionWrapper.java:201)
at org.brixcms.jcr.api.wrapper.SessionWrapper$18.execute(SessionWrapper.java:274)
at org.brixcms.jcr.api.wrapper.AbstractWrapper.executeCallback(AbstractWrapper.java:106)
at org.brixcms.jcr.api.wrapper.SessionWrapper.save(SessionWrapper.java:272)
at org.brixcms.plugin.snapshot.ManageSnapshotsPanel$7.onSubmit(ManageSnapshotsPanel.java:237)
.....
{code}

The exact same workspace.xml in usage with modeshape 2.8 can be imported as often as required and overwrites the old content; ",,,
270,MODE-1940,"Create node /a/b, then move to /a/c. Performing a SQL2 query for a node where localname = 'c' returns no results. Perform a query where localname = 'b' returns the node, but node.getName() is 'c'.
",,,
273,MODE-1939,"Testing with DDL from the field, I ran across an Oracle table with this name: ""BB_CATEG_REPORT_R$O."" The Oracle DDL parser errors when it encounters names with symbols in them. The valid symbols for an Oracle name are: '_' (underscore), '$' (dollar sign), '#' (pound sign), and '@' (at sign).",,,
277,MODE-1938,"{{WorkspaceCache}} instances are initialized lazily, when a client code first calls the {{RepositoryCache#workspace}} method. The whole initialization procedure is done inside a user transaction, so that entries in ISPN are correctly persited.

The current code has a bug in that if multiple threads call this method, the cache of workspace caches from {{RepositoryCache}} exposes a new {{WorkspaceCache}} instance *before* {{transaction.commit}} has occurred. 

In other words, a thread may get a {{WorkspaceCache}} reference even though the data corresponding to that workspace cache has not been persisted in ISPN.

This can be *seen sometimes* while running the tests, when error messages such as:

{code}
Exception in thread ""main"" javax.jcr.ItemNotFoundException: The node with key ee0a8387505d64/ no longer exists.
	at org.modeshape.jcr.AbstractJcrNode.node(AbstractJcrNode.java:216)
	at org.modeshape.jcr.AbstractJcrNode.path(AbstractJcrNode.java:236)
	at org.modeshape.jcr.AbstractJcrNode.addNode(AbstractJcrNode.java:1002)
	at org.modeshape.jcr.AbstractJcrNode.addNode(AbstractJcrNode.java:925)
{code}

pop up. They are caused by the asynchronous indexing threads ""colliding"" with the main test threads.",,,
279,MODE-1937,"Hi,
 
I am currently making use of the java sequencer. I noticed if I have overloaded methodes that have the same parameter names but different types will cause an error when trying to sequence. Here is the error I get when trying to sequence (org/modeshape/common/text/TokenStream.java)

{code}
10:28:58,221 ERROR [org.modeshape.sequencer.javafile.JavaFileSequencer] (modeshape-sequencer-8-thread-2) Error sequencing file: javax.jcr.ItemExistsException: A node definition that allows same name siblings could not be found for the node ""/TokenStream.java/TokenStream.java/org/modeshape/common/text/TokenStream/class:methods/consume(expected)[2]"" in workspace ""default""
  at org.modeshape.jcr.AbstractJcrNode.validateChildNodeDefinition(AbstractJcrNode.java:1207) [modeshape-jcr-3.2.0.Final.jar:3.2.0.Final]
  at org.modeshape.jcr.AbstractJcrNode.addChildNode(AbstractJcrNode.java:1045) [modeshape-jcr-3.2.0.Final.jar:3.2.0.Final]
  at org.modeshape.jcr.AbstractJcrNode.addNode(AbstractJcrNode.java:1001) [modeshape-jcr-3.2.0.Final.jar:3.2.0.Final]
  at org.modeshape.jcr.AbstractJcrNode.addNode(AbstractJcrNode.java:931) [modeshape-jcr-3.2.0.Final.jar:3.2.0.Final]
  at org.modeshape.jcr.AbstractJcrNode.addNode(AbstractJcrNode.java:107) [modeshape-jcr-3.2.0.Final.jar:3.2.0.Final]
  at org.modeshape.sequencer.javafile.ClassSourceFileRecorder.writeMethods(ClassSourceFileRecorder.java:221)
  at org.modeshape.sequencer.javafile.ClassSourceFileRecorder.writeClassMetadata(ClassSourceFileRecorder.java:80)
  at org.modeshape.sequencer.javafile.ClassSourceFileRecorder.record(ClassSourceFileRecorder.java:48)
  at org.modeshape.sequencer.javafile.JavaFileSequencer.execute(JavaFileSequencer.java:67)
  at org.modeshape.jcr.SequencingRunner.run(SequencingRunner.java:224) [modeshape-jcr-3.2.0.Final.jar:3.2.0.Final]
  at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:895) [rt.jar:1.6.0_45]
  at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:918) [rt.jar:1.6.0_45]
  at java.lang.Thread.run(Thread.java:662) [rt.jar:1.6.0_45]
{code}

I checked the defenition for node type {{[class:methods]}} and it is
 
{code}
[class:methods]
+ * (class:method) = class:method
{code}
 
The '{{sns}}' attribute needs to be added to the definition to allow for same name sibling:

{code}
[class:methods]
+ * (class:method) = class:method sns
{code}
 

Thanks,
Tamer

",,,
290,MODE-1935,"Our current support for clustering indexing via JMS is incomplete, because we're lacking a {{javax.jms.MessageListener}} implementation that would run on the ""master"" node and would process entries from the queue.

The [Hibernate Search Documentation|http://docs.jboss.org/hibernate/search/4.2/reference/en-US/html_single/#jms-backend] hints towards MDBs, but that's not an option because we are not using Hibernate.",,,
305,MODE-1934,"The current 3.8 version of the POI libraries (used by the Tika text extractor and MS Office Sequencer) should be removed and/or downgraded.

For the sequencer, this means that we will be temporarily ""deactivating"" the sequencer.

See comment for more information",,,
329,MODE-1933,"When attempting to start ModeShape in EAP with JMS configured for indexing, the following exception is raised:

{code}
Caused by: org.modeshape.jcr.cache.WrappedException: java.lang.NoClassDefFoundError: javax/jms/JMSException
        at org.modeshape.jcr.cache.document.WritableSessionCache.save(WritableSessionCache.java:449) [modeshape-jcr-3.3-SNAPSHOT.jar:3.3-SNAPSHOT]
        at org.modeshape.jcr.cache.document.WritableSessionCache.save(WritableSessionCache.java:347) [modeshape-jcr-3.3-SNAPSHOT.jar:3.3-SNAPSHOT]
        at org.modeshape.jcr.cache.RepositoryCache.runOneTimeSystemInitializationOperation(RepositoryCache.java:472) [modeshape-jcr-3.3-SNAPSHOT.jar:3.3-SNAPSHOT]
        at org.modeshape.jcr.JcrRepository$RunningState.completeInitialization(JcrRepository.java:1234) [modeshape-jcr-3.3-SNAPSHOT.jar:3.3-SNAPSHOT]
        at org.modeshape.jcr.JcrRepository.doStart(JcrRepository.java:359) [modeshape-jcr-3.3-SNAPSHOT.jar:3.3-SNAPSHOT]
        at org.modeshape.jcr.JcrRepository.login(JcrRepository.java:601) [modeshape-jcr-3.3-SNAPSHOT.jar:3.3-SNAPSHOT]
        ... 54 more
Caused by: java.lang.NoClassDefFoundError: javax/jms/JMSException
        at org.hibernate.search.backend.BackendFactory.createBackend(BackendFactory.java:61) [hibernate-search-engine-4.2.0.Final.jar:4.2.0.Final]
        at org.hibernate.search.indexes.impl.DirectoryBasedIndexManager.createBackend(DirectoryBasedIndexManager.java:224) [hibernate-search-engine-4.2.0.Final.jar:4.2.0.Final]
        at org.hibernate.search.indexes.impl.DirectoryBasedIndexManager.initialize(DirectoryBasedIndexManager.java:103) [hibernate-search-engine-4.2.0.Final.jar:4.2.0.Final]
        at org.hibernate.search.indexes.impl.IndexManagerHolder.createIndexManager(IndexManagerHolder.java:227) [hibernate-search-engine-4.2.0.Final.jar:4.2.0.Final]
        at org.hibernate.search.indexes.impl.IndexManagerHolder.buildEntityIndexBinding(IndexManagerHolder.java:102) [hibernate-search-engine-4.2.0.Final.jar:4.2.0.Final]
        at org.hibernate.search.spi.SearchFactoryBuilder.initDocumentBuilders(SearchFactoryBuilder.java:414) [hibernate-search-engine-4.2.0.Final.jar:4.2.0.Final]
        at org.hibernate.search.spi.SearchFactoryBuilder.buildNewSearchFactory(SearchFactoryBuilder.java:222) [hibernate-search-engine-4.2.0.Final.jar:4.2.0.Final]
        at org.hibernate.search.spi.SearchFactoryBuilder.buildSearchFactory(SearchFactoryBuilder.java:146) [hibernate-search-engine-4.2.0.Final.jar:4.2.0.Final]
        at org.modeshape.jcr.RepositoryQueryManager.queryEngine(RepositoryQueryManager.java:175) [modeshape-jcr-3.3-SNAPSHOT.jar:3.3-SNAPSHOT]
        at org.modeshape.jcr.RepositoryQueryManager.getIndexes(RepositoryQueryManager.java:161) [modeshape-jcr-3.3-SNAPSHOT.jar:3.3-SNAPSHOT]
        at org.modeshape.jcr.JcrRepository$RepositoryMonitorFactory.indexingMonitor(JcrRepository.java:1801) [modeshape-jcr-3.3-SNAPSHOT.jar:3.3-SNAPSHOT]
        at org.modeshape.jcr.JcrRepository$RepositoryMonitorFactory.createMonitor(JcrRepository.java:1795) [modeshape-jcr-3.3-SNAPSHOT.jar:3.3-SNAPSHOT]
        at org.modeshape.jcr.txn.Transactions.newMonitor(Transactions.java:229) [modeshape-jcr-3.3-SNAPSHOT.jar:3.3-SNAPSHOT]
        at org.modeshape.jcr.txn.Transactions$BaseTransaction.createMonitor(Transactions.java:242) [modeshape-jcr-3.3-SNAPSHOT.jar:3.3-SNAPSHOT]
        at org.modeshape.jcr.cache.document.WritableSessionCache.save(WritableSessionCache.java:373) [modeshape-jcr-3.3-SNAPSHOT.jar:3.3-SNAPSHOT]
        ... 59 more
Caused by: java.lang.ClassNotFoundException: javax.jms.JMSException from [Module ""org.hibernate.search.engine:main"" from local module loader @c75e4fc (finder: local module finder @100c62c8 (roots: D:\Work\jboss-eap-6.1-ms-3.3.0\modules,D:\Work\jboss-eap-6.1-ms-3.3.0\modules\system\layers\base))]
        at org.jboss.modules.ModuleClassLoader.findClass(ModuleClassLoader.java:190) [jboss-modules.jar:1.2.0.CR1-redhat-1]
        at org.jboss.modules.ConcurrentClassLoader.performLoadClassUnchecked(ConcurrentClassLoader.java:468) [jboss-modules.jar:1.2.0.CR1-redhat-1]
        at org.jboss.modules.ConcurrentClassLoader.performLoadClassChecked(ConcurrentClassLoader.java:456) [jboss-modules.jar:1.2.0.CR1-redhat-1]
        at org.jboss.modules.ConcurrentClassLoader.performLoadClassChecked(ConcurrentClassLoader.java:423) [jboss-modules.jar:1.2.0.CR1-redhat-1]
        at org.jboss.modules.ConcurrentClassLoader.performLoadClass(ConcurrentClassLoader.java:398) [jboss-modules.jar:1.2.0.CR1-redhat-1]
        at org.jboss.modules.ConcurrentClassLoader.loadClass(ConcurrentClassLoader.java:120) [jboss-modules.jar:1.2.0.CR1-redhat-1]
        ... 74 more
{code}",,,
334,MODE-1932,"When configuring the ModeShape EAP kit to use JMS for indexing, the _path_ and _source-path_ attributes should always be relative to _jboss.server.data.dir_. 

However, atm, instead of resolving _jboss.server.data.dir_ correctly, ModeShape just creates folders like: _jboss.server.data.dirmodeshape_ in the current working directory.",,,
341,MODE-1930,"Using a Teiid Designer test database I ran into a table called ""Product.product:info."" That table had columns with names containing the ':' character also. The DDL parser framework does not handle names with illegal characters.

The DDL parser framework should be changed to use the JCR substitution characters when creating a node if the name contains illegal characters. The framework should also provide a way to obtain the original name.",,,
347,MODE-1929,"In order to cluster ModeShape repositories in EAP, the {{cluster-name}} attribute needs to be specified in the repository configuration. 

Even though the current kit fully defines the attribute (marshaling from/to XML, setting & reading it), it *does not list it as a repository attribute*. This means that in effect, when configuring a repository, the value will always be {{undefined}}.

In effect, this prevents ModeShape from being clustered in EAP.",,,
350,MODE-1926,"The Oracle DDL parsing of the ""CREATE [UNIQUE | BITMAP] INDEX"" is incomplete. The parser creates the right type of statement node and sets the ""UNIQUE"" or ""BITMAP"" property but treats everything after the statement start keywords as one expression. So the index name and column references are not being set.",,,
363,MODE-1925,"The example applications packed in the release both won't start. The sequencers demo has a typo in the class name:

{code}
modeshape-3.2.0.Final/examples/modeshape-sequencers-demo$ ./run.sh 
Error: Could not find or load main class org.modeshape.demo.sequencer.SequencerDemo
{code}

If the typo is corrected in this example, one gets the same error as the embedded repo example gives:

{code}
modeshape-3.2.0.Final/examples/modeshape-embedded-repo-demo$ ./run.sh 
java.lang.NoSuchMethodError: org.jboss.logging.Logger.getMessageLogger(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;
	at org.infinispan.util.logging.LogFactory.getLog(LogFactory.java:37)
	at org.infinispan.util.Util.<clinit>(Util.java:68)
	at org.infinispan.util.FileLookupFactory$DefaultFileLookup.getAsInputStreamFromClassLoader(FileLookupFactory.java:51)
	at org.infinispan.util.AbstractFileLookup.lookupFile(AbstractFileLookup.java:54)
	at org.modeshape.jcr.RepositoryConfiguration.<clinit>(RepositoryConfiguration.java:743)
	at org.modeshape.demo.embedded.repo.EmbeddedRepositoryDemo.main(EmbeddedRepositoryDemo.java:25)
{code} 

Talked about this on the IRC channel and was asked to create this bug.",,,
